id,candidatePrefecture,election,electiondistrict,teisu,name,kana,gender,age,newcomer,continuecount,touseki,license,kokujibi,tohyobi,tousen,twitter,candidatedistrictblock,localcandidate,birthday,age,candidatedistrict,image,hp,url,instagram,facebook,almaMater,detail
46,京都府,京都府議会議員選挙,城陽市,2,酒井　常雄,ｻｶｲ　ﾂﾈｵ,男,60,現職,3,有,公認,2023/3/31,2023/4/9,,,近畿,TRUE,,,京都府城陽市,,,,,,,
47,京都府,京都府議会議員選挙,京田辺市・綴喜郡,2,北川　剛司,ｷﾀｶﾞﾜ　ﾀｶｼ,男,60,現職,2,有,公認,2023/3/31,2023/4/9,,,近畿,TRUE,,,京都府京田辺市・綴喜郡,,,,,,,
48,京都府,京都市議会議員選挙,左京区,8,隠塚　功,ｵﾝﾂﾞｶ　ｲｻｵ,男,59,元職,4,有,公認,2023/3/31,2023/4/9,,,近畿,TRUE,,,京都府左京区,,,,,,,
49,京都府,京都市議会議員選挙,東山区,2,中野　洋一,ﾅｶﾉ　ﾖｳｲﾁ,男,53,現職,4,有,公認,2023/3/31,2023/4/9,,,近畿,TRUE,,,京都府東山区,,,,,,,
50,京都府,京都市議会議員選挙,山科区,6,小島　信太郎,ｺｼﾞﾏ　ｼﾝﾀﾛｳ,男,35,現職,1,有,公認,2023/3/31,2023/4/9,,,近畿,TRUE,,,京都府山科区,,,,,,,
51,京都府,福知山市議会議員選挙,,24,芦田　眞弘,ｱｼﾀﾞ　ﾏｻﾋﾛ,男,58,現職,3,有,推薦,2023/4/16,2023/4/23,,,近畿,TRUE,,,京都府福知山市,,,,,,,
52,京都府,宇治市議会議員選挙,,28,角谷　陽平,ｶﾄﾞﾔ　ﾖｳﾍｲ,男,42,現職,1,有,公認,2023/4/16,2023/4/23,,,近畿,TRUE,,,京都府宇治市,,,,,,,
53,京都府,城陽市議会議員選挙,,20,上原　敏,ｳｴﾊﾗ　ｻﾄｼ,男,53,現職,2,有,公認,2023/4/16,2023/4/23,,,近畿,TRUE,,,京都府城陽市,,,,,,,
54,京都府,木津川市議会議員選挙,,20,河口　靖子,ｶﾜｸﾞﾁ　ﾔｽｺ,女,78,現職,3,有,推薦,2023/4/16,2023/4/23,,,近畿,TRUE,,,京都府木津川市,,,,,,,
55,京都府,宇治市議会議員選挙,,28,今川　美也,ｲﾏｶﾞﾜ　ﾐﾔ,女,56,現職,2,有,公認,2023/4/16,2023/4/23,,,近畿,TRUE,,,京都府宇治市,,,,,,,
56,京都府,城陽市議会議員選挙,,20,宮園　智子,ﾐﾔｿﾞﾉ　ﾄﾓｺ,女,42,新人,,有,推薦,2023/4/16,2023/4/23,,,近畿,TRUE,,,京都府城陽市,,,,,,,
57,京都府,京田辺市議会議員選挙,,20,河本　隆志,ｶﾜﾓﾄ　ﾀｶｼ,男,43,現職,4,有,公認,2023/4/16,2023/4/23,,,近畿,TRUE,,,京都府京田辺市,,,,,,,
58,熊本県,熊本市議会議員選挙,熊本市西区,6,島津　哲也,ｼﾏﾂﾞ　ﾃﾂﾔ,男,50,現職,1,有,公認,2023/3/31,2023/4/9,,,九州,TRUE,,,熊本県熊本市西区,,,,,,,
59,広島県,広島県議会議員選挙,尾道市,3,金口　巖,ｶﾅｸﾁ　ｲﾜｵ,男,68,現職,4,有,推薦,2023/3/31,2023/4/9,,,中国,TRUE,,,広島県尾道市,,,,,,,
60,香川県,香川県議会選挙,高松市,15,山本　悟史,ﾔﾏﾓﾄ　ｻﾄｼ,男,53,現職,3,有,公認,2023/3/31,2023/4/9,,,四国,TRUE,,,香川県高松市,,,,,,,
61,香川県,香川県議会選挙,高松市,15,金藤　友香理,ｶﾈﾄｳ　ﾕｶﾘ,女,51,新人,,有,公認,2023/3/31,2023/4/9,,,四国,TRUE,,,香川県高松市,,,,,,,
62,香川県,香川県議会選挙,東かがわ市,2,鏡原　慎一郎,ｶｶﾞﾐﾊﾗ　ｼﾝｲﾁﾛｳ,男,37,現職,1,有,公認,2023/3/31,2023/4/9,,,四国,TRUE,,,香川県東かがわ市,,,,,,,
63,香川県,香川県議会選挙,観音寺市,3,五味　伸亮,ｺﾞﾐ　ﾉﾌﾞｱｷ,男,41,新人,,有,公認,2023/3/31,2023/4/9,,,四国,TRUE,,,香川県観音寺市,,,,,,,
64,香川県,香川県議会議員選挙,さぬき市,2,三木　由美子,ﾐｷ　ﾕﾐｺ,女,57,新人,,有,公認,2023/3/31,2023/4/9,,,四国,TRUE,,,香川県さぬき市,,,,,,,
65,香川県,高松市議会議員選挙,,40,大西　智,ｵｵﾆｼ　ｻﾄｼ,男,52,現職,3,有,推薦,2023/4/16,2023/4/23,,,四国,TRUE,,,香川県高松市,,,,,,,
66,香川県,高松市議会議員選挙,,40,米田　優,ﾖﾈﾀﾞ　ﾏｻﾙ,男,59,新人,,有,公認,2023/4/16,2023/4/23,,,四国,TRUE,,,香川県高松市,,,,,,,
67,香川県,高松市議会議員選挙,,40,前川　幸輝,ﾏｴｶﾜ　ｺｳｷ,男,25,新人,,有,公認,2023/4/16,2023/4/23,,maekawa190,四国,TRUE,,,香川県高松市,,,,,,,
68,香川県,坂出市議会議員選挙,,20,小笠原　浩,ｵｶﾞｻﾜﾗ　ﾋﾛｼ,男,57,現職,1,有,公認,2023/4/16,2023/4/23,,,四国,TRUE,,,香川県坂出市,,,,,,,
69,香川県,さぬき市議会議員選挙,,20,名倉　毅,ﾅｸﾞﾗ　ﾀｹｼ,男,80,現職,4,有,公認,2023/4/16,2023/4/23,,,四国,TRUE,,,香川県さぬき市,,,,,,,
70,香川県,さぬき市議会議員選挙,,20,中川　睦彦,ﾅｶｶﾞﾜ　ﾑﾂﾋｺ,男,52,現職,1,有,公認,2023/4/16,2023/4/23,,,四国,TRUE,,,香川県さぬき市,,,,,,,
71,香川県,さぬき市議会議員選挙,,20,濱岡　洋貴,ﾊﾏｵｶ　ﾋﾛｷ,男,29,新人,,有,公認,2023/4/16,2023/4/23,,hamaoka_hiroki,四国,TRUE,,,香川県さぬき市,,,,,,,
72,香川県,東かがわ市議会議員選挙,,16,山口　大輔,ﾔﾏｸﾞﾁ　ﾀﾞｲｽｹ,男,47,現職,2,有,公認,2023/4/16,2023/4/23,,,四国,TRUE,,,香川県東かがわ市,,,,,,,
73,香川県,東かがわ市議会議員選挙,,16,淀　紀清,ﾖﾄﾞ　ｷｽｽﾞ,女,24,新人,,有,公認,2023/4/16,2023/4/23,,Kisuzu_udon,四国,TRUE,,,香川県東かがわ市,,,,,,,
74,香川県,三木町議会議員選挙,,16,友保　陽子,ﾄﾓﾔｽ　ﾖｳｺ,女,52,現職,1,有,公認,2023/4/18,2023/4/23,,,四国,TRUE,,,香川県三木町,,,,,,,
75,香川県,宇多津町議会議員選挙,,10,柳口　欣吾,ﾔﾅｸﾞﾁ　ｷﾝｺﾞ,男,56,新人,,有,公認,2023/4/18,2023/4/23,,,四国,TRUE,,,香川県宇多津町,,,,,,,
76,香川県,宇多津町議会議員選挙,,10,沼田　友紀,ﾇﾏﾀ　ﾕｷ,女,28,新人,,有,公認,2023/4/18,2023/4/23,,yukinumatautazu,四国,TRUE,,,香川県宇多津町,,,,,,,
77,香川県,坂出市議会議員選挙,,19,浦川　雅己,ｳﾗｶﾜ　ﾏｻﾐ,男,45,新人,,有,公認,2023/4/16,2023/4/23,,,四国,TRUE,,,香川県坂出市,,,,,,,
78,高知県,高知県議会議員選挙,高知市,15,前田　強,ﾏｴﾀﾞ　ﾂﾖｼ,男,39,元職,1,有,公認,2023/3/31,2023/4/9,,maetsuyoshi,九州,TRUE,,,高知県高知市,,,,,,,
79,埼玉県,さいたま市議会議員選挙,南区,9,丹羽　宝宏,ﾆﾜ　ﾀｶﾋﾛ,男,41,元職,,有,公認,2023/3/31,2023/4/9,,,北関東,TRUE,,,埼玉県南区,,,,,,,
