,name,screen_name,followers_count
130, 松本れいこ（福岡市西区・国民民主党）,@reiko_mtsmt,519
131, 島貫 宏幸,@hiroyukishiman1,512
132, 菊池大二郎 山形県議会議員 Kikuchi Daijiro,@KikuchiDaijiro,509
133, 山野井隆,@yamanoitakashi,505
134, 山口だいすけ🌟現役ケアマネ議員|東かがわ市議会議員|東かがわ市議会議員選挙を若者と考える|,@daisuke_giin,486
135, 国民民主党福井県総支部連合会,@kokumin_fukui,480
136, 前田強【国民民主党公認候補予定者、高知県議会、高知市区】,@maetsuyoshi,472
137, 高安ひろあき（茨城県議会議員),@Takayasuhiro329,467
138, 白岩正三,@shiraiwa_net,456
139, おちたつや（越智 辰哉）,@ochitatsuya0711,448
140, 谷  健一,@kenitani,436
141, 国民民主党 千葉県総支部連合会,@kokumin_chiba,421
142, 原田たかき　国民民主党豊島区政策委員,@harada_tsm22,417
143, 七戸じゅん,@jun_shichinohe,412
144, いのつめ正太@国民民主党 中野区政策委員,@shota_inotsume,394
145, 大貫はなこ🌷(台東区政策委員・国民民主党),@hanako_onuki,392
146, 二川 ひでとし (茨城県議会議員),@hide_futakawa,380
147, 軽石義則,@karuishi_y,378
148, 川北まさる（川西市議会議員）,@Kawakita_Masaru,374
149, 大足　光司,@koji_oashi,371
150, 中村 けいすけ / 福岡県福津市議会議員,@ksk_0910,370
151, 矢野　じゅんいち（行橋市議会議員）,@jyano521,362
152, 国民民主党宮崎県連（公式）🐰🥭,@kokumin_myzk,359
153, 吉田しゅんすけ@芦屋市政に挑戦,@shyonchi,357
154, 中野洋一,@nakanoYo_1,356
155, 岩佐まさし［国民民主党兵庫県連・統一地方選挙2023］,@marboyanbo,352
156, ひぐま　慈,@itsukihiguma,350
157, ときざき直行＠国民民主党,@TokizakiNaoyuki,339
158, 坂本勝司 | 横浜市会議員( 戸塚区 ) | 選挙ドットコム更新中 | 国民民主党,@gutsdego,337
159, 国民民主党山口県連,@kokumin_ymgc,336
160, 沼田友紀(ぬまたゆき)@宇多津　国民民主党公認で町議会に挑戦予定🐰,@yukinumatautazu,336
161, 山木由美　高畠町議会議員,@YumiYamaki107,323
162, 松田みゆき/国民民主党　大野城市議,@MiyukiMatuda,322
163, こがゆ康弘|横浜市会議員(旭区)|選挙ドットコム更新中,@yasuhirokogayu,321
164, 佐藤泰樹,@satoyasuki7,320
165, 河井 昭成,@kawai_akinari,318
166, 田中えりか | 千代田区政策委員 | 国民民主党,@_tanakaerika_,313
167, 宮原ひろみ／横浜市港南区　県政担当,@miyahara_hiro,310
168, 加藤まさのぶ@国民民主党公認候補予定者(新居浜市議会),@estakihabu,309
169, 助川さとる,@Sukegawa_satoru,307
170, 国民民主党茨城県連,@kokuminibaraki,307
171, 百武啓二,@hyakukei,303
172, いしざとあつや 国民民主党 大田区政策委員,@ATSUYA_SEIJI,303
173, 小幡憲仁,@obatanorihito,299
174, 島津哲也（国民民主党熊本県連幹事長）,@shimazutetsuya6,294
175, 浜岡　ひろき,@hamaoka_hiroki,288
176, 石田たくなり【防府市議･国民民主党】,@takunari_ishida,288
177, 田中知久,@tomohisa_tanaka,275
178, 早川ひろのり,@hiro_0202aq,272
179, 五味のぶあき（香川県観音寺市議会議員）,@gomi1980,272
180, きど かおり,@kaori_kokumin,271
181, 珍部芳裕,@chimbeyoshihiro,271
182, 小名木いさと@ふるさと南区に恩返しを！！,@isato_konagi,270
183, 高山たいぞう,@bunkyotaizo,266
184, 永野あつこ,@atsuko_call,253
185, 今井みちえ,@MICHIEIMAI,252
186, すだ一行　国民民主党・藤沢市政担当【子育て支援で街づくり】,@sudakazuyuki,251
187, 西岡よしたか 神奈川県議会に挑戦•横浜市泉区☆選挙ドットコム更新中,@osunishiokades,249
188, 髙橋とおる,@0312_toru,245
189, 片野　ひろたか（片野広隆:川越市議会議員）,@katano_36,243
190, 森山博行（鹿児島市）国民民主党鹿児島県連副幹事長,@lpSaWpiOJwz6uqd,233
191, 石渡ゆきお,@ishiwata_yukio,233
192, はまぞえけいすけ濱添桂輔【厚木市】国民民主党公認候補予定者,@Keisuke_Hamazoe,231
193, 弓洋子_福岡市政に挑戦_中央区_国民民主党,@fxI8dS0hrIw6lyl,228
194, 国民民主党鹿児島県総支部連合会,@dpj_kagoshima,222
195, つづきまりこ,@inzai_mariko,220
196, とく山れいこ(国民民主党大田区政策委員),@reikotokuyama,218
197, 奥谷 崇(土浦市議会議員),@ELkDWoHH4sVMMD9,216
198, 金野たかやす＠国民民主党・岩見沢政策担当,@kinno_takayasu,208
199, 石田しょうたろう25歳【東大和市公認候補予定者】,@25_ishida,207
200, さいとう英彰(茨城県議会議員),@Saitou_424,207
201, 国民民主党三重県連,@kokumin_mie,206
202, 前野まみこ,@maenomamiko,206
203, 浦川まさみ（香川県坂出市・国民民主党公認候補予定者）,@urakawamasami,202
204, 山口たかゆき,@takayuki_ngsk,201
205, 工藤ゆきこ　国民民主党公認候補予定者【浦安市議会】,@Yukiko_Kudo281,199
206, 米田優　国民民主党　高松市　市政委員,@TWNapoli,198
207, 鈴木あきのぶ 川崎市高津区 【国民民主党】,@akinobu593,196
208, 片谷洋夫（青梅市議会議員）,@HirooKataya,175
209, 池永ゆうき@大阪狭山市,@ikenaga1987,173
210, 石原せいじ　国民民主党世田谷区政策委員,@ishiharaseiji21,173
211, かねとうゆかり（国民民主党）,@kanetououentai,165
212, 丸山純 国民民主党【猪名川町議会議員】,@JunMaru22592427,162
213, 竹俣 朋(たけまた とも),@ImlILWLwgsC8Ufk,157
214, 石渡ゆきこ（弁護士）,@y_ishiwatari,142
215, うえぞの晋介,@uechannel249,142
216, すずき みゆき【山形県議会議員立候補予定】,@suzukimiyuki701,139
217, 向山好一(兵庫県議会議員),@mukoyama_kobe,138
218, 京都の国民民主党🔥,@kokumin_kyoto,134
219, 小原かずき（国民民主党公認候補・大垣市政策委員）,@Oharakazuki309,129
220, 土肥こうすけ,@doikousuke,127
221, 大沢のぼる,@osawanoboru,126
222, 小林ひろふみ,@Kobayashi1623,125
223, 佐藤あきお(水戸市議会議員),@satoakio310,124
224, 国民民主党 奈良県総支部連合会,@newkokuminnara,121
225, 三木由美子,@mikisanuki2023,117
226, 酒井常雄,@sakai_tsuneo__,115
227, 吉尾 卓也 (よしお たくや) ／ 高槻市,@TakuyaYoshio,114
228, 神田みほ(相模原市緑区・国民民主党),@KandaMihokms,113
229, 森井もとし,@motoshimorii,110
230, 秋吉智紀＠福岡移住,@akiyoshi1625,105
231, 岡田光正,@sizuoka35bank,104
232, 日髙しょういち　国民民主党公認🎊延岡市議を目指します❗,@hidakasho8,99
233, 国民民主党岡山県総支部連合会,@kokumin_okayama,99
234, さいとう俊一郎：山形県議会議員選挙東根市区,@Shunichirou_S,96
235, 大東市議会議員 みずおち康一郎,@kou_mizuochi,95
236, 伊藤あんな,@itoanna107,90
237, 橋本直久,@nh19911991,87
238, 鈴木よしひろ,@yosshisuzuki,78
239, 若村まさより(国民民主党明石市政担当),@m_waka4222,70
240, 中村かずひと,@1orlxjTuNSHD5Ww,68
241, 坂上昭栄,@sakagamishoei,62
242, 国民民主党とやま,@kokumin_toyama,60
243, 国民新潟,@n7e0jof,58
244, 駒場昭夫,@KzAGu2ES5XwFYUI,53
245, 竹内淳太郎,@juntarotakeuchi,52
246, 松田みねゆき,@matsudamineyuki,51
247, 高橋りょうま,@ryoma_mino,43
248, 胡蝶結夢,@taueta77,42
249, 堀川秀樹,@z7BJTtv5ZyaZP0i,42
250, 黒木あきみつ,@akimitsukurogi,40
251, 北上あきひと,@kitaue_akihito7,40
252, 堀川秀樹,@3inE5enMJrYHSf5,38
253, 参議院議員 上田清司,@FeFQFsgref5wS6U,33
254, ながの　ひろひさ,@naganohirohisa,26
255, 富田昭雄,@bdxSvtQ8nQ1f7BE,17
256, 川端達夫,@ttkawa7,17
257, 中村久信,@BVd5wh9e90eA5mj,11
258, 黒田教太,@kyota0498,7
259, 草川ただし事務所,@kusakawajimusho,6
260, 足立ひでき元横浜市会議員,@hide_ytr,6
261, 春野慶司,@G1i9olE3i1NIWsA,5
262, 下田英樹,@LbtKqwBMbZFMnyy,4
